file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1456.3097419700302,1463.6328433559286,5.847415846323581,16,16.9,0.3,13.257589149475098
C101,650.3490149469862,655.6576004354583,15.92575646541633,8,8.0,0.0,43.37143347263336
RC101,1373.4055126609042,1396.094107423062,20.646149049246926,13,13.3,0.45825756949558394,27.679716515541077
R102,1301.3192284341792,1312.3898831530078,5.97399524697448,14,14.7,0.45825756949558394,23.553014516830444
C102,650.3490149469862,668.7811165637503,16.03758930277799,8,8.0,0.0,49.69033501148224
RC102,1278.3603569469105,1306.3231791289631,16.54659821176241,12,12.0,0.0,27.030325245857238
R103,1024.691743557907,1051.796097131892,33.092595219857074,12,12.0,0.0,53.16937472820282
C103,653.7539826301949,685.7933927386828,40.230287693644634,8,8.0,0.0,133.80296983718873
RC103,1140.6876851641027,1172.139512308842,23.689663061987194,10,10.9,0.3,40.36930000782013
R104,842.721149344071,869.0870663945973,23.97994009280518,9,9.0,0.0,128.51782920360566
C104,647.3442863244002,657.5115872931714,13.993639217708663,7,7.9,0.3,120.12041773796082
RC104,968.7806270100269,998.9828190887026,22.0417587893389,8,8.8,0.4,65.9284702539444
R105,1169.6801711632909,1220.979291397278,33.43506860971079,12,12.3,0.45825756949558394,25.25243616104126
C105,650.3490149469861,655.5804928018523,15.694433564598237,8,8.0,0.0,37.184923958778384
RC105,1290.882196841555,1357.6673566096263,34.454446477766425,13,13.0,0.0,23.22754578590393
R106,1100.8620631842596,1121.2590541375532,19.336937572120707,11,11.0,0.0,58.933413124084474
C106,648.484895079529,677.8668752163337,32.598901867896345,8,8.0,0.0,44.194721698760986
RC106,1136.5709117163035,1152.8615620866153,19.501226082382622,10,10.3,0.45825756949558394,55.801830887794495
R107,944.9693969779667,958.5335037439378,16.270939305259347,9,9.2,0.4,85.11861801147461
C107,648.4848950795289,648.4848950795291,1.3923737144427707e-13,8,8.0,0.0,46.32074918746948
RC107,1047.2494764101268,1070.3707289690763,17.541387791427727,10,10.0,0.0,73.74784846305847
R108,823.3418841376285,863.5846648635754,32.632412118789595,8,8.0,0.0,157.82757377624512
C108,646.6341942832073,659.9847992439562,18.239741714161376,8,8.0,0.0,69.46897284984588
RC108,935.6199001346417,946.4770692997078,9.700918838931079,9,9.0,0.0,63.54161198139191
