file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,265.2607619102254,265.2607619102255,4.7558616332371205e-14,4,4.0,0.0,4.339197587966919
C101,58.32595327336471,58.32595327336471,0.0,1,1.0,0.0,2.510748052597046
RC101,185.90787650875717,185.90787650875717,0.0,2,2.0,0.0,2.53454532623291
R102,229.76853317906043,233.0877533557678,1.659610088353702,3,3.0,0.0,0.2237154483795166
C102,57.24996285655929,58.868995111678295,3.4103442115479843,1,1.0,0.0,0.028082728385925293
RC102,169.68323125071748,169.68323125071748,8.987733679556355e-15,2,2.0,0.0,1.5555517435073853
R103,229.76853317906043,233.0877533557678,1.659610088353702,3,3.0,0.0,0.22734200954437256
C103,57.24996285655929,58.868995111678295,3.4103442115479843,1,1.0,0.0,0.028287076950073244
RC103,169.68323125071748,169.76485532575492,0.10000958765473066,2,2.0,0.0,1.7580015659332275
R104,198.21230541476098,198.21230541476098,1.556721137788958e-14,2,2.0,0.0,0.13838787078857423
C104,56.407466195335516,59.717347708529985,2.305214699603989,1,1.0,0.0,0.03579564094543457
RC104,166.0485053949989,166.2735313486707,0.34373282201021726,2,2.0,0.0,0.08944091796875
R105,253.07149730807546,253.07149730807546,0.0,3,3.0,0.0,3.541890048980713
C105,58.32595327336471,58.32595327336471,0.0,1,1.0,0.0,1.0147974729537963
RC105,179.30555124171454,181.72849789842007,2.422946656705534,2,2.0,0.0,2.6935953855514527
R106,229.38697971400833,229.38697971400833,0.0,2,2.0,0.0,0.6365485906600952
C106,58.32595327336471,58.32595327336471,0.0,1,1.0,0.0,2.5109687089920043
RC106,178.08794184831893,178.08794184831893,0.0,2,2.0,0.0,1.2085232973098754
R107,229.38697971400833,229.38697971400833,0.0,2,2.0,0.0,0.5987500429153443
C107,58.32595327336471,58.32595327336471,0.0,1,1.0,0.0,1.0130343914031983
RC107,168.16728824405018,168.1672882440502,2.842170943040401e-14,2,2.0,0.0,1.0588444471359253
R108,198.21230541476098,198.21230541476098,0.0,2,2.0,0.0,0.13871593475341798
C108,57.49752614861852,57.49752614861851,7.105427357601002e-15,1,1.0,0.0,0.5162254095077514
RC108,166.0485053949989,166.04850539499893,2.842170943040401e-14,2,2.0,0.0,0.7352578401565552
