file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,618.3299155462685,624.0325712135093,4.662538147401833,8,8.6,0.4898979485566356,3.648981809616089
C101,191.8136197786562,191.81361977865623,1.2710574864626037e-14,3,3.0,0.0,5.314096856117248
RC101,529.8293642345013,530.0410778453722,0.2592951591178714,6,6.0,0.0,1.98545081615448
R102,548.1078177906315,550.4150191111967,4.353691700801709,7,7.0,0.0,1.0801087617874146
C102,190.7376293618508,190.84522840353134,0.3227971250416317,3,3.0,0.0,3.0133402824401854
RC102,402.68551083744563,447.265462724818,14.916407829619756,4,4.9,0.3,1.2784226655960083
R103,464.82534884157593,465.8614434165999,3.108283725071944,6,6.0,0.0,1.367014479637146
C103,190.7376293618508,191.97192734275922,1.487920364678918,3,3.0,0.0,3.547270083427429
RC103,334.11486247572833,346.3803510828444,22.057943707645475,3,3.2,0.39999999999999997,4.658360290527344
R104,437.08362792153144,438.5172855268891,2.8673152107153186,4,4.8,0.39999999999999997,1.5038710832595825
C104,187.44945538505976,190.5776164384271,1.7671540118434008,3,3.0,0.0,3.9362791061401365
RC104,307.1390025908645,338.98862541267243,26.5397893957205,3,3.5,0.5,2.365030550956726
R105,531.5386420627177,544.9978511605525,11.088496000271627,6,6.2,0.39999999999999997,3.0316916942596435
C105,191.8136197786562,191.81361977865623,8.987733679556355e-15,3,3.0,0.0,3.1141190052032472
RC105,413.53369777710395,462.3319022292693,43.27798937384501,4,4.9,0.8306623862918076,1.948322057723999
R106,466.4802121580664,468.4588565627411,3.096129050870502,5,5.0,0.0,1.417112684249878
C106,191.8136197786562,191.81361977865623,1.2710574864626037e-14,3,3.0,0.0,5.227178859710693
RC106,346.50544606829146,393.19605753165877,27.73348648530717,3,3.9,0.5385164807134505,2.7446078777313234
R107,425.2685249543928,444.30663647535386,7.531200449064337,4,4.9,0.3,1.8120092868804931
C107,191.8136197786562,191.81361977865623,2.0097183471152322e-14,3,3.0,0.0,3.7716463565826417
RC107,298.94984154867427,299.8373722748547,1.3841844513398904,3,3.0,0.0,3.35722873210907
R108,398.29470724433304,405.4345942754678,8.782952500733257,4,4.0,0.0,2.9589231252670287
C108,191.8136197786562,191.81361977865623,1.556721137788958e-14,3,3.0,0.0,2.9529595375061035
RC108,294.9944395178464,301.4634794392065,18.55357748249002,3,3.1,0.3,3.1429260969161987
