file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1049.9840353172808,1058.1812435455608,6.465146935311138,12,12.5,0.5,5.952519106864929
C101,363.246800411591,366.9530491395732,11.118746183946522,5,5.1,0.3,17.72784833908081
RC101,968.8009202096008,971.6381111632982,2.678875245882136,10,10.0,0.0,7.826112413406372
R102,911.4425816655938,919.3268915440033,3.794848301283216,11,11.6,0.4898979485566356,9.366093730926513
C102,362.1708099947856,378.21687613150914,21.805738820867308,5,5.3,0.45825756949558405,24.914149928092957
RC102,887.0738270493246,922.6806025576813,30.103065466793165,9,9.5,0.5,7.683072018623352
R103,781.8663330193202,799.6518015415102,9.860687592972196,9,9.2,0.4,14.179888057708741
C103,363.24680041159104,378.6991812363325,17.29242624609971,5,5.1,0.3,30.632437419891357
RC103,715.9237976964059,828.8780057113597,56.621465014864654,6,8.1,0.9433981132056604,11.89964246749878
R104,640.3399315417738,652.3184162821352,7.807333952440727,6,6.8,0.39999999999999997,24.030446600914
C104,361.7605874076144,367.0304699913628,4.34665295624281,5,5.0,0.0,29.260402512550353
RC104,551.335197844829,591.1250761252097,23.816692992920625,5,5.7,0.45825756949558405,14.241779494285584
R105,939.0861837921568,958.471896002794,21.79301401873488,10,10.9,0.8306623862918076,9.89653468132019
C105,363.246800411591,363.246800411591,2.5421149729252075e-14,5,5.0,0.0,13.852902746200561
RC105,890.3824551445816,955.1942424891391,30.486644710219746,9,10.1,0.5385164807134504,9.082592535018922
R106,795.253371041792,821.1656301921827,12.910608104239456,8,9.2,0.7483314773547883,14.527089715003967
C106,363.246800411591,363.246800411591,5.961788066145753e-14,5,5.0,0.0,13.887424850463868
RC106,829.4887714817118,897.4011913440511,36.928933913336245,8,9.3,0.7810249675906655,8.390921831130981
R107,716.5186840461423,746.4815981461013,15.305484856333061,7,7.7,0.45825756949558405,18.23822522163391
C107,363.246800411591,363.246800411591,6.725804022493794e-14,5,5.0,0.0,14.32561719417572
RC107,665.6450723032541,705.0630905639044,31.273692092640037,6,6.5,0.5,21.455165815353393
R108,629.0201450798571,643.4957331619306,12.038862236463272,6,6.5,0.5,24.79264612197876
C108,363.246800411591,363.246800411591,6.226884551155832e-14,5,5.0,0.0,16.922724986076354
RC108,602.9051815230752,610.6045842650375,8.237203648603698,6,6.0,0.0,17.431262016296387
