file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1441.1965675895362,1460.3178466228842,18.806803762375193,18,18.6,0.66332495807108,17.636500453948976
C101,650.3490149469862,657.7615124029505,14.824994911928702,8,8.2,0.4,34.05137348175049
RC101,1402.2321855865328,1475.6087520349463,53.903723527826195,14,15.5,0.9219544457292888,26.86462047100067
R102,1274.0927653826145,1304.2636570091377,17.283397196805694,15,16.5,0.6708203932499369,21.520292496681215
C102,650.3490149469862,669.2765366624615,19.124738972891244,8,8.2,0.39999999999999997,54.68725171089172
RC102,1287.2200776762802,1318.3385363378188,18.77497407119118,13,13.2,0.4,28.38183526992798
R103,1021.1198719430745,1062.9600637387448,25.22845123340302,12,12.4,0.4898979485566356,53.91038308143616
C103,654.942379834425,698.1354168225731,36.76740163831558,8,8.2,0.4,87.29110269546509
RC103,1140.9746437155914,1174.642537838253,23.454602410218534,11,11.3,0.45825756949558394,43.793344497680664
R104,838.4220886048871,869.4083738752539,17.808710928307345,9,9.7,0.45825756949558394,70.1445701122284
C104,649.2120719490407,671.8364074158823,17.948534698652672,8,8.1,0.3,119.51716585159302
RC104,969.606005776192,1005.0514585983634,25.581490698182368,9,9.5,0.5,81.20435171127319
R105,1188.1937133639176,1233.2797109241023,34.25563551237743,13,14.3,1.0999999999999999,31.19538757801056
C105,650.3490149469862,650.3490149469862,7.190186943645084e-14,8,8.0,0.0,49.69187068939209
RC105,1270.4060935828368,1337.3247632673197,32.582039020423075,12,13.6,0.8,40.89220895767212
R106,1096.041594667599,1138.033573035372,21.195305291148035,12,12.8,0.6,51.615025353431705
C106,648.4848950795289,655.8973925354934,14.824994911928718,8,8.2,0.4,41.26032781600952
RC106,1176.8331811423782,1203.426649613822,9.813912327022773,11,11.6,0.4898979485566356,50.88953557014465
R107,954.3115145931154,975.4530178448033,9.263255528198773,10,10.0,0.0,64.85668668746948
C107,648.4848950795289,648.4848950795291,1.1368683772161603e-13,8,8.0,0.0,45.968914818763736
RC107,1037.8887175748134,1073.3845684193334,29.2869231424473,10,10.4,0.4898979485566356,51.62944891452789
R108,815.9538312407076,828.1523172875679,12.554037949217156,9,9.0,0.0,125.45865414142608
C108,646.6341942832073,656.5978772265906,16.29393612124652,8,8.1,0.3,56.87455251216888
RC108,955.2957938163025,978.7096059928745,23.42979918410625,9,9.1,0.3,95.09508829116821
