file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,618.3299155462687,631.6590979366664,6.636695787142824,8,8.9,0.3,3.1412360429763795
C101,191.8136197786562,191.81361977865623,1.2710574864626037e-14,3,3.0,0.0,5.507978868484497
RC101,476.9550387190222,524.8242599045004,15.958705504597484,5,5.9,0.3,2.146569752693176
R102,548.1078177906315,548.1920134222781,0.25258689493958475,7,7.0,0.0,0.843504524230957
C102,190.7376293618508,191.51928195934374,0.5184507518225386,3,3.0,0.0,2.539019250869751
RC102,402.489284798319,443.28115326888474,20.634468399846444,4,4.8,0.39999999999999997,1.3455140590667725
R103,464.82534884157593,464.82534884157593,9.511723266474241e-14,6,6.0,0.0,0.8386550903320312
C103,190.7376293618508,190.7376293618508,2.3779308166185603e-14,3,3.0,0.0,2.1840516090393067
RC103,333.9186364366016,339.8385099386257,16.33353149822153,3,3.1,0.3,3.6007861137390136
R104,417.9612285190715,433.2591480410395,7.6489597609839795,4,4.8,0.39999999999999997,1.5412506580352783
C104,187.44945538505974,187.44945538505976,8.987733679556355e-15,3,3.0,0.0,1.897680926322937
RC104,307.88908910310386,314.86651091377803,15.879557203055505,3,3.1,0.3,3.967901659011841
R105,557.0083241231787,565.4786542925073,8.152552491099222,6,6.6,0.4898979485566356,2.643223285675049
C105,191.8136197786562,191.81361977865623,2.2015361458940203e-14,3,3.0,0.0,3.089217758178711
RC105,414.1636973783802,459.059397932874,40.343801412601444,4,4.8,0.7483314773547882,2.082767057418823
R106,466.4802121580664,466.48021215806637,1.2058310082691391e-13,5,5.0,0.0,1.3018635988235474
C106,191.81361977865623,191.81361977865623,0.0,3,3.0,0.0,4.794952607154846
RC106,346.50544606829146,409.41232384513575,46.43821736708596,3,4.2,0.8717797887081347,2.9310938358306884
R107,440.7428172998141,440.74281729981413,5.684341886080802e-14,5,5.0,0.0,0.8500057220458984
C107,191.8136197786562,191.81361977865623,2.0097183471152322e-14,3,3.0,0.0,3.1270864009857178
RC107,298.94984154867427,306.1597863627238,19.377629835232362,3,3.1,0.3,3.313917112350464
R108,398.29470724433304,399.29318657014204,2.9954379774270423,4,4.0,0.0,2.2858571767807008
C108,191.8136197786562,191.81361977865623,8.987733679556355e-15,3,3.0,0.0,2.3677106857299806
RC108,294.9944395178464,294.99443951784644,3.595093471822542e-14,3,3.0,0.0,3.2960299491882323
