file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1729.1858061981904,1746.4798968917876,12.104955280475924,23,24.0,0.6324555320336759,43.863008213043216
C101,828.9368669428342,840.0556131267807,16.984165340312106,10,10.3,0.45825756949558394,64.86597964763641
RC101,1726.3746628826323,1787.4770977930425,46.96002355098599,18,19.5,1.118033988749895,49.46903910636902
R102,1513.1392485732824,1548.3321929906415,19.49171184893872,19,19.8,0.6,49.985381841659546
C102,828.9368669428342,828.9368669428343,7.190186943645084e-14,10,10.0,0.0,94.16397111415863
RC102,1535.8744035193208,1581.1223899172408,24.52533465469302,16,17.0,0.6324555320336759,114.19256103038788
R103,1246.287060454728,1285.216095113946,21.56216436503537,15,16.3,0.6403124237432849,155.5829822063446
C103,828.0648821980841,829.7984871617824,5.200814891094326,10,10.0,0.0,79.99682726860047
RC103,1382.733919062467,1397.7862879525542,7.951335617115452,13,13.9,0.3,73.52880673408508
R104,1017.6692133047063,1035.0152578093553,15.256570270916455,12,12.5,0.5,176.5391953468323
C104,825.955296805632,834.6044630698664,3.997072520392558,10,10.0,0.0,77.90810282230377
RC104,1185.2083698270408,1209.5485792535098,10.309574282368905,12,12.0,0.0,126.73825840950012
R105,1452.3817450693684,1484.429454100496,24.126228255738276,17,18.9,1.0440306508910548,64.17663977146148
C105,828.9368669428341,828.9368669428343,1.016845989170083e-13,10,10.0,0.0,55.17404708862305
RC105,1604.1332346054937,1637.041526691904,34.58513596721886,17,17.6,0.66332495807108,72.15467112064361
R106,1299.6104721012593,1328.7483636711645,34.89664983325123,14,15.8,1.16619037896906,108.26237177848816
C106,828.9368669428341,840.0556131267807,16.984165340312114,10,10.3,0.45825756949558394,64.59037365913392
RC106,1436.7515236743031,1517.519536180295,29.43068267539195,14,15.8,0.8717797887081347,69.55089728832245
R107,1118.8624864149074,1151.8014249255693,22.526566553988694,12,13.2,0.7483314773547883,124.70435070991516
C107,828.9368669428342,828.9368669428343,8.038873388460929e-14,10,10.0,0.0,56.078862857818606
RC107,1269.1034686462876,1324.5255997265394,35.52397131808297,12,13.4,0.8,83.6523430109024
R108,969.3193308404725,992.310355247368,16.4583014025074,10,10.9,0.3,241.00746922492982
C108,828.9368669428342,828.9368669428343,1.1368683772161603e-13,10,10.0,0.0,47.75241498947143
RC108,1161.0800890516725,1168.107575768407,5.7716491051880965,11,11.9,0.3,59.53914704322815
